"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","67815","Verify that ""ENTER ACCOUNT INFORMATION"" is visible","chromium","2026-02-08","broken","2026-02-08","Signup Flow","01_LoginRegister_Module\TC00_Without_Methods_Test.spec.ts","",""
"","30362","Verify success message ""You have been successfully subscribed!"" is visible","chromium","2026-02-08","passed","2026-02-08","Subscription Flow","05_Subscription_Module\TC22_Scrolling_subscription_test.spec.ts","",""
"","11200","Verify that home page is visible successfully","chromium","2026-02-08","passed","2026-02-08","Register Flow","01_LoginRegister_Module\TC05_Register_With_Existing_Mail_test.spec.ts","",""
"","28455","Verify ""New User Signup!"" is visible","chromium","2026-02-08","passed","2026-02-08","Signup Flow","01_LoginRegister_Module\TC01_SignUp_test.spec.ts","",""
"","26652","Verify all the products related to search are visible","chromium","2026-02-08","passed","2026-02-08","Product Review Flow","04_Products_Module\TC19_Adding_Review_test.spec.ts","",""
"","20100","Verify navigating to brand page and brand products are displayed","chromium","2026-02-08","passed","2026-02-08","Register Checkout Flow","04_Products_Module\TC17_View_Barnd_Products_test.spec.ts","",""
"","66686","Search Products and Verify Cart After Login","chromium","2026-02-08","passed","2026-02-08","All Products Flow","04_Products_Module\TC18_Search_Products_Verify_login_test.spec.ts","",""
"","76461","Verify Register while checkout","chromium","2026-02-08","broken","2026-02-08","Register Checkout Flow","04_Products_Module\TC14_PlaceOrder_Login_Before_Checkout_test.spec.ts","",""
"","30618","Verify Users could not Login by providing, Invalid email and invalid password","chromium","2026-02-08","passed","2026-02-08","Login Flow","01_LoginRegister_Module\TC03_Login_With_Invalid_Creds_test.spec.ts","",""
"","58251","Verify Register while checkout","chromium","2026-02-08","failed","2026-02-08","Register Checkout Flow","04_Products_Module\TC15_Remove_Products_From_Cart_test.spec.ts","",""
